source_id,OGLE-ID,RA,Dec,Type,subType,SNR,I,V_I,Period,[Fe/H]_J95,[Fe/H]_ZW,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist,r_est,r_lo,r_hi,abs_Imag,abs_Gmag,V
4657598467243021824,OGLE-LMC-CEP-2909,85.28729,-69.61897,CEP,F,8.175722,14.732,0.92999935,7.323349,,,85.28728019353,0.0418,-69.61895057151,0.0529,-0.1425,0.048,1.966,0.083,0.678,0.098,12171.4,52.9309,15.475018,6011.36,101.497,15.903956,9414.54,102.864,14.827422,1.076534,,,0,5040.0,,,,,0.073219,8088.5713144433,6799.01942397006,9668.03077658029,0.19264125651705655,0.9356589055649085,-13.80200100095215
4685952329500740224,OGLE-SMC-CEP-1726,12.915292,-73.031586,CEP,1O,14.095274,16.332,0.57699966,1.4498401,,,12.91535356131,0.0752,-73.03159415465,0.0503,-0.0786,0.0662,0.966,0.18,-1.342,0.098,3266.97,29.689,16.903002,2204.56,84.6101,16.993084,2553.64,59.983,16.244022,0.749062,,,0,5852.0,,,,,0.050434,6023.75837112777,4910.84150209766,7455.78527500896,2.432663018210416,3.003664285788542,-15.755001072421875
4657884821331468032,OGLE-LMC-CEP-2276,82.94833,-70.41686,CEP,1O,7.559939,14.368,0.6540003,3.7789204,,,82.9483736918,0.0182,-70.41684665558,0.0226,-0.0429,0.0209,1.86,0.034,0.289,0.045,19127.5,33.1067,14.984221,10892.2,112.4,15.258597,12912.2,93.1139,14.484421,0.774177,,,0,6103.0,,,,,0.049687,11685.5460884259,10241.4459144213,13393.0818749611,-0.9702450326479806,-0.3540240631655589,-13.713999730517578
4685677447268712192,OGLE-SMC-CEP-2379,13.84,-73.59394,CEP,1O,5.721037,15.052,0.6160002,3.3700128,,,13.84006367829,0.0465,-73.59394876858,0.0364,-0.1758,0.0497,0.441,0.088,-0.436,0.071,11234.4,28.0195,15.561988,6646.14,76.0744,15.794965,7360.93,54.6634,15.094588,0.700377,,,0,6522.66,,,,,0.063009,8588.70749379975,7184.80300643147,10309.3705772011,0.38236098479556446,0.8923489390191968,-14.435999845776367
4685848593132499200,OGLE-SMC-CEP-0848,11.570917,-73.32525,CEP,F,18.323376,16.349,0.5109997,2.0641701,,,11.57088742175,0.2891,-73.32523187066,0.2493,1.1349,0.309,1.695,0.516,-0.321,0.442,3351.55,54.2151,16.87525,2404.28,117.404,16.898926,2901.44,82.3784,16.105385,0.793541,,,0,5286.9,,,,,0.09035,892.459347952083,672.519396660673,1295.1523185162,6.596058716457019,7.122307785670888,-15.838001230786134
4652072871558535808,OGLE-LMC-CEP-1075,77.15317,-70.3165,CEP,1O,12.4091,14.705,0.6470003,3.2531822,,,77.15321294085,0.023,-70.31651384619,0.0261,0.0217,0.0247,2.172,0.047,0.287,0.058,14513.8,107.985,15.283912,8007.16,240.661,15.592691,9672.75,159.116,14.798044,0.794647,,,0,5956.0,,,,,0.057329,8271.04090864873,7222.80774895472,9546.41572690803,0.11719907942866925,0.6961111557226154,-14.057999623706054
4685932190411151104,OGLE-SMC-CEP-1470,12.571709,-73.25714,CEP,F,7.783022,17.339,0.70399857,1.3608838,,,12.57170837013,0.1292,-73.25716012412,0.0984,-0.235,0.1282,1.193,0.279,-0.616,0.197,1146.88,8.71549,18.039574,939.997,42.8561,17.918571,987.215,28.9383,17.27589,0.642681,,,0,,,,,,0.065744,4565.04793745816,3547.2794404684,5921.37299180248,4.041773989853645,4.74234728794935,-16.635002131904297
4688958050684354304,OGLE-SMC-CEP-1315,12.343291,-72.88175,CEP,1O,11.902806,16.362,0.6480007,1.3706965,,,12.3433024146,0.0843,-72.88176988816,0.058,0.1944,0.075,1.307,0.169,-1.855,0.113,2945.54,27.7081,17.015451,4057.97,705.626,16.330618,3546.75,550.318,15.887342,0.443275,,,0,5095.63,,,,,0.043622,3393.88306990209,2774.05103823409,4261.05638396801,3.708515134672993,4.361966622954242,-15.71399881171875
4658376337387513600,OGLE-LMC-CEP-1443,79.098045,-68.59075,CEP,F/1O,13.328071,16.398,0.6729984,1.3555355,,,79.09799273935,0.0628,-68.59075721806,0.0857,0.1546,0.081,1.683,0.123,0.512,0.155,2974.07,25.0126,17.004988,1805.15,54.7606,17.210104,2156.71,57.0426,16.42744,0.782663,,,0,5952.0,,,,,0.100653,3446.74236562646,2813.6067272577,4314.59342827937,3.7109566055605043,4.317943888397419,-15.725002317163085
4661703661399434624,OGLE-LMC-CEP-0531,74.64308,-67.19061,CEP,1O,5.9684157,16.723,0.578001,0.7899913,,,74.64311402176,0.0596,-67.19059444124,0.0844,-0.0556,0.0754,1.815,0.123,-0.297,0.165,2485.52,12.3426,17.199823,1506.58,33.9631,17.40641,1659.34,22.9326,16.712084,0.694326,,,0,,,,,,0.063629,4930.00946783839,4036.68707807151,6080.51132180902,3.2587608061588114,3.7355842334049036,-16.144998572753906
