source_id,OGLE-ID,RA,Dec,Type,subType,SNR,I,V_I,Period,[Fe/H]_J95,[Fe/H]_ZW,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist,r_est,r_lo,r_hi,abs_Imag,abs_Gmag
5254046348091581568,OGLE-GD-ECL-01108,160.33746,-61.29061,ECL,nonEC,5.856172,15.377,0.9760008,1.968718,,,160.3374255121053,-61.2906343106577,0.001,0.001,90.0,160.33738014509,0.0448,-61.2906224873,0.0372,0.6152,0.0455,-5.062,0.086,2.746,0.069,false,6739.9,15.1796,16.116734,3506.04,26.1423,16.489346,6479.82,45.4175,15.233013,1.256332,,,0,4920.0,,,1.22,0.791,0.105908,1561.39408709774,1455.41041883473,1683.67412150207,4.409437203113498,4.409437203113498
4068803801482326912,OGLE-BLG-ECL-093215,266.39697,-23.305471,ECL,NC,5.5872974,14.25,1.4069996,2.7769141,,,266.3969442008394,-23.3054747352139,0.001,0.001,90.0,266.39693204527,0.0393,-23.30549131902,0.0362,0.7019,0.0469,-2.593,0.076,-3.852,0.061,false,14965.8,11.4274,15.250619,6060.15,34.9638,15.89518,14557.5,56.6149,14.354205,1.540975,,,0,4347.03,,,2.26,1.646,0.086352,1375.50872066758,1290.08342406711,1472.8074588061,3.5576832592838734,3.5576832592838734
4056245214235885952,OGLE-BLG-RRLYR-09629,269.7468,-29.977194,RRLYR,RRab,5.6509414,15.687,1.6159992,0.6816849,,,269.7467894898284,-29.9772207017831,0.004,0.003,90.0,269.74677204143,0.1185,-29.9772262802,0.1044,-0.495,0.1238,-3.51,0.252,-1.296,0.191,false,3577.73,18.7573,16.804348,1850.83,295.614,17.182974,5257.67,191.122,15.459936,1.723038,,,0,4849.0,,,,,0.10156,11879.9099629557,8325.71150137812,16872.4154169171,0.3129345288143526,0.3129345288143526
4056085411189728512,OGLE-BLG-ECL-168691,268.51108,-30.909056,ECL,NC,8.774991,15.242,2.0570002,58.01091,,,268.511095844915,-30.9090767259541,0.004,0.003,90.0,268.51107546379,0.1482,-30.9090961701,0.1275,0.4462,0.1664,-4.061,0.262,-4.516,0.209,false,4989.02,15.3619,16.443327,1623.67,53.6839,17.32514,7911.01,179.963,15.016339,2.308801,,,0,3858.0,,,,,0.089232,2443.67809006444,1560.02483466458,4973.29934453229,3.3017796512787925,3.3017796512787925
4062973439263618560,OGLE-BLG-ECL-317484,271.85425,-27.612778,ECL,NC,5.2723002,15.51,1.3780003,31.68329,,,271.8542769449856,-27.612809051423,0.003,0.002,90.0,271.85427246011,0.0838,-27.61281313001,0.0719,0.3219,0.0825,-0.923,0.173,-0.947,0.144,false,4847.0,10.6707,16.474684,2268.62,59.7503,16.961985,5965.81,189.338,15.322747,1.639237,,,0,4595.73,,,,,0.14101,2956.47348050473,2295.79296114725,4096.67269345503,3.1561302901735964,3.1561302901735964
4056207972413794944,OGLE-BLG-ELL-014074,269.59253,-30.295666,ELL,ELL,5.5822864,16.176,2.1959991,12.324736,,,269.5925563208898,-30.2956846513947,0.004,0.003,90.0,269.59254619892,0.1176,-30.29570388882,0.109,-0.0137,0.125,-2.03,0.228,-4.468,0.195,false,1822.86,6.88633,17.536484,649.328,10.6801,18.320227,2650.34,33.6202,16.203667,2.11656,,,0,,,,,,0.10584,7297.12194083335,4669.38396055111,11607.534432856,1.860242576458905,1.860242576458905
4056470888789723520,OGLE-BLG-ECL-144995,268.01303,-29.484694,ECL,NC,33.22567,13.902,1.1529999,1.2184556,,,268.0130612855388,-29.4847177861953,0.001,0.001,90.0,268.01305977492,0.0507,-29.48472497662,0.0484,0.4183,0.057,-0.305,0.095,-1.67,0.075,false,23521.9,46.5516,14.759685,10245.9,169.59,15.325012,20255.8,305.332,13.995549,1.329463,,,0,4870.0,,,3.45,6.044,0.130172,2274.4136339725,1999.50784871944,2634.43238562433,2.1176531769038185,2.1176531769038185
4043417937784466560,OGLE-BLG-ELL-008596,267.94357,-32.981083,ELL,ELL,5.3776865,13.712,2.1710005,11.790494,,,267.9435454120772,-32.9811037985134,0.002,0.001,90.0,267.94355228325,0.0534,-32.98112056008,0.0457,0.36,0.0445,1.339,0.103,-3.893,0.078,false,19140.9,24.8458,14.983457,4861.34,57.1775,16.134499,23365.8,103.616,13.840467,2.294032,,,0,3544.0,2.1685,1.072,9.69,13.357,0.105449,2601.10965398217,2317.41123330094,2961.64625176192,1.6362065883498893,1.6362065883498893
5242070570505702784,OGLE-GD-ECL-03809,162.81425,-61.544834,ECL,nonEC,15.163896,14.824,0.9579992,1.498688,,,162.8142344773459,-61.5448289009525,0.001,0.001,90.0,162.81417067565,0.0278,-61.54481972407,0.0289,0.326,0.0378,-7.061,0.055,2.131,0.052,false,11324.5,8.1205,15.553318,5496.58,35.5415,16.001156,8511.48,60.0065,14.936908,1.064248,,,0,5135.53,,,2.69,4.525,0.03234,2831.44248356111,2548.41554505651,3182.79850003838,2.563961638473433,2.563961638473433
4041638240790609152,OGLE-BLG-LPV-068791,267.74353,-34.34497,LPV,Mira,188.74805,14.695,5.045,356.6,,,267.7435644397583,-34.344979698213,0.007,0.006,90.0,267.74354559295,0.2402,-34.34500829972,0.2245,-0.7806,0.2674,-3.614,0.463,-6.643,0.404,false,5353.16,247.899,16.36684,675.079,169.058,18.278002,14911.4,2993.36,14.328122,3.94988,,,0,3697.09,,,,,0.108157,7963.0088040702,5010.85778190011,12411.6547088571,0.1896137153660007,0.1896137153660007
