source_id,best_class_name,best_class_score,OGLE-ID,RA,Dec,Type,subType,SNR,I,V_I,Period,[Fe/H]_J95,[Fe/H]_ZW,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist,r_est,r_lo,r_hi,abs_Imag,abs_Gmag
4044108362348055552,RRAB,0.9479166666666666,OGLE-BLG-RRLYR-10592,270.1612,-30.96564,RRLYR,RRab,15.666931,16.736,1.6130009,0.51166725,,,270.1612378161554,-30.9656806721827,0.005,0.004,90.0,270.16121545611,0.2042,-30.96568187268,0.1815,-0.1175,0.1687,-4.453,0.341,-0.279,0.284,false,1373.32,27.9266,17.843939,794.828,108.968,18.100706,1822.39,148.064,16.610313,1.490393,,,0,,,,,,0.187259,7351.8996266567,4570.33819067694,11791.2360450884,2.404002215422558,2.404002215422558
4044116398417303424,RRAB,0.8438236680810937,OGLE-BLG-RRLYR-09796,269.81116,-30.981833,RRLYR,RRab,15.975149,16.514,1.9169998,0.52732,,,269.8111818696322,-30.9818404968681,0.007,0.006,90.0,269.81118140926,0.2724,-30.98187164769,0.2335,-0.0388,0.3476,-0.092,0.483,-7.235,0.399,false,1611.63,31.1438,17.6702,592.612,71.2974,18.419462,2575.97,185.935,16.23457,2.184893,,,0,,,,,,0.072694,5482.42300354779,2897.0270691388,9864.71629497037,2.8191372336777185,2.8191372336777185
4044123751257395712,RRAB,0.7933593750000001,OGLE-BLG-RRLYR-09994,269.88916,-30.870083,RRLYR,RRab,16.806992,16.561,1.7369995,0.39986652,,,269.8891524421057,-30.8700774341554,0.005,0.004,90.0,269.88914283619,0.1703,-30.87011331022,0.1543,0.4178,0.1952,-1.915,0.308,-8.333,0.263,false,1376.58,26.6126,17.841364,1084.83,15.4021,17.762985,3163.14,480.203,16.011623,1.751362,,,0,,,,,,0.030772,2791.30066170709,1641.00736613266,6216.46638145989,4.3319677313063565,4.3319677313063565
4044127603810325760,RRAB,0.9714843750000002,OGLE-BLG-RRLYR-11139,270.42026,-30.959833,RRLYR,RRab,22.31558,16.304,1.691,0.45702872,,,270.4202776148496,-30.9598408666825,0.004,0.003,90.0,270.42024323565,0.1161,-30.95987456472,0.1068,-0.0637,0.1215,-6.847,0.238,-7.827,0.191,false,2017.1,41.4619,17.426544,794.48,74.2755,18.101181,2406.55,114.365,16.308434,1.792748,,,0,,,,,,0.061311,8009.04441365205,5188.30860635217,12493.6152153833,1.7860973443798578,1.7860973443798578
4657878013919987712,RRAB,0.6564588490099013,OGLE-LMC-RRLYR-16438,82.074875,-70.33975,RRLYR,RRab,5.401116,18.781,0.5279999,0.5017485,-1.332,-1.546,82.0749041171254,-70.3397748062844,0.01,0.009,0.0,82.07494285453,0.2997,-70.33977039419,0.3762,0.0094,0.3472,3.027,0.573,1.025,0.671,false,364.978,7.61977,19.2827,650.834,36.696,18.317713,490.424,42.1471,18.035492,0.282221,,,0,,,,,,0.096014,2058.94364044724,1417.59792548366,3058.20993362024,7.212777843233027,7.212777843233027
4657878464777727872,RRAB,0.5785449080622348,OGLE-LMC-RRLYR-16498,82.10071,-70.30517,RRLYR,RRab,5.4017735,18.735,0.55999947,0.6114958,-1.894,-1.938,82.1007206228245,-70.3051834996472,0.008,0.008,0.0,82.10075703445,0.2592,-70.30518307011,0.2837,0.3819,0.2613,2.85,0.499,0.1,0.499,false,366.142,6.05403,19.27924,405.68,30.1667,18.830929,407.016,24.246,18.237892,0.593037,,,0,,,,,,0.050279,1770.98106747394,1266.40091696044,2609.37808302657,7.493931018222607,7.493931018222607
5241855100601718272,RRAB,0.2738242574257427,OGLE-GD-DSCT-0028,164.10521,-61.82725,DSCT,F/1O,16.304663,15.622,0.6949997,0.06892856,,,164.1052007354881,-61.8272458314025,0.002,0.002,90.0,164.10516727554,0.0574,-61.82723312629,0.0608,0.0659,0.0654,-3.669,0.118,2.951,0.113,false,6029.06,30.9125,16.237741,3326.01,69.3417,16.546577,4298.0,50.5653,15.678755,0.867823,,,0,5623.5,,,,,0.021752,6845.50654614947,5008.6399712233,9761.1840502085,1.4449717901146393,1.4449717901146393
4657924777343395072,RRAB,0.13439595947046135,OGLE-LMC-RRLYR-13750,80.86962,-70.28739,RRLYR,RRab,5.424184,18.534,0.5679989,0.6137906,-2.435,-2.317,80.8696161075513,-70.2874302002437,0.011,0.007,0.0,80.86963979724,0.2398,-70.28744172268,0.2674,0.47,0.2698,1.856,0.456,-2.676,0.68,false,437.173,8.08796,19.086733,,,,,,,,,,0,,,,,,0.144798,1616.0608920789,1155.24259948716,2402.91618275048,7.491711793385818,7.491711793385818
4657927079623443456,RRAB,0.7967763768564359,OGLE-LMC-RRLYR-15361,81.58346,-70.34603,RRLYR,RRab,5.0161977,18.879,0.39500046,0.5006214,-1.499,-1.662,81.58346040879,-70.3460460662959,0.012,0.007,0.0,81.58348926417,0.2344,-70.34604104808,0.4242,-0.3379,0.2848,2.254,0.442,1.166,0.782,false,363.413,7.84688,19.287365,411.812,31.1526,18.81464,442.61,21.6087,18.146868,0.667772,,,0,,,,,,0.057841,2726.5703377438,1961.34754922976,3826.61429636283,6.700916181446928,6.700916181446928
4657927221217442048,RRAB,0.18803041018387562,OGLE-LMC-RRLYR-15381,81.589584,-70.319275,RRLYR,RRab,5.0073123,18.887,0.41600037,0.4730567,-1.27,-1.503,81.5896680285356,-70.3192997561933,0.017,0.013,0.0,81.58963228352,0.4368,-70.319308755,0.5497,-0.8977,0.4759,-2.796,0.829,-2.09,1.088,false,346.457,7.02877,19.339241,716.203,49.3986,18.213799,467.611,24.4746,18.087208,0.126591,,,0,,,,,,0.135357,2372.96157269344,1624.82733847065,3466.71276847576,7.010545603305438,7.010545603305438
4055976967574166144,RRAB,0.7819793140028288,OGLE-BLG-RRLYR-03875,267.52762,-30.58,RRLYR,RRab,12.269988,17.102,2.8760014,0.5225754,,,267.5275678996724,-30.5800111498746,0.008,0.007,90.0,267.52757017114,0.2724,-30.58002094811,0.2687,-0.7263,0.3767,0.454,0.526,-2.276,0.441,false,729.648,14.8043,18.530582,273.702,24.1206,19.258192,1884.66,144.788,16.57384,2.684353,,,0,,,,,,0.166389,6810.44053081015,3937.19869670779,11332.8568225408,2.9361232578456082,2.9361232578456082
4055983117975292160,RRAB,0.8220179160773219,OGLE-BLG-RRLYR-03880,267.52945,-30.428389,RRLYR,RRab,8.537666,17.609,3.2490005,0.46675467,,,267.5294354463181,-30.4283948442318,0.011,0.01,90.0,267.52940577349,0.3509,-30.42840113094,0.3016,0.4029,0.4058,-5.943,0.737,-1.46,0.627,false,367.892,9.09676,19.274065,225.908,41.934,19.466557,1312.7,219.994,16.966503,2.500053,,,0,,,,,,0.049836,4080.38567417443,1854.99052957946,8321.13868820185,4.555493181661934,4.555493181661934
4056055346408913664,RRAB,0.8292742220650636,OGLE-BLG-RRLYR-06868,268.61963,-31.296167,RRLYR,RRab,14.208226,16.713,1.9980011,0.5067275,,,268.619643849968,-31.2961872770042,0.007,0.006,90.0,268.61959612624,0.2856,-31.29620663265,0.2543,-1.1113,0.4383,-9.471,0.429,-4.496,0.367,false,1185.95,22.7952,18.003202,550.355,55.9425,18.49978,2451.39,245.771,16.288391,2.21139,,,0,,,,,,0.084521,6961.0626028126,4027.64085189223,11543.6796833796,2.4996216463123417,2.4996216463123417
4056057992162355072,RRAB,0.782752828854314,OGLE-BLG-RRLYR-06863,268.61655,-31.227083,RRLYR,RRab,14.771298,16.808,1.987999,0.46154228,,,268.6165301848408,-31.2270865455755,0.008,0.006,90.0,268.61652563771,0.2647,-31.22713600611,0.225,0.1933,0.2878,-0.903,0.495,-11.488,0.393,false,893.759,7.98226,18.310314,486.346,44.0203,18.634024,2083.18,85.1186,16.465101,2.168922,,,0,,,,,,0.062321,4711.70112411705,2430.05702423409,8975.56955839441,3.4421118936505124,3.4421118936505124
4056064005119534976,RRAB,0.8009488448844884,OGLE-BLG-RRLYR-07397,268.8368,-31.111639,RRLYR,RRab,11.188449,16.464,1.6369991,0.5743124,,,268.8367771474098,-31.1116526086032,0.005,0.004,90.0,268.83676220737,0.1759,-31.11166401481,0.1614,-0.1955,0.2107,-2.971,0.299,-2.649,0.252,false,1724.49,25.5398,17.596712,822.719,159.218,18.06326,2535.44,244.987,16.25179,1.81147,,,0,,,,,,0.085798,7106.1386492747,4298.44007400316,11581.7591419791,2.2058323176973573,2.2058323176973573
4056064688181744384,RRAB,0.9627976190476192,OGLE-BLG-RRLYR-07092,268.70282,-31.122473,RRLYR,RRab,17.586468,16.45,1.6779995,0.4972674,,,268.7028252636019,-31.122470897836,0.004,0.003,90.0,268.70280719973,0.1312,-31.12249264688,0.1169,-0.3759,0.1333,-3.592,0.263,-5.051,0.208,false,1723.81,39.6386,17.597143,1110.48,123.8,17.737608,3144.09,227.178,16.018183,1.719425,,,0,,,,,,0.0179,10461.3542752485,7084.87776971615,15369.8848362423,1.3520612139944674,1.3520612139944674
4056065547154196480,RRAB,0.1065461456859973,OGLE-BLG-RRLYR-07484,268.88116,-31.086971,RRLYR,RRc,8.411863,16.356,1.5239983,0.3389563,,,268.8812048270312,-31.0869802790944,0.004,0.003,90.0,268.8811829904,0.1395,-31.087013394,0.127,0.1024,0.1531,-4.343,0.258,-7.691,0.212,false,1976.42,18.6702,17.448666,899.751,44.8316,17.966082,2747.73,53.9296,16.164484,1.801598,,,0,,,,,,0.142181,5622.37074614157,3392.46720173166,9709.80078636792,2.6064034995903356,2.6064034995903356
4056065551253769344,RRAB,0.9702380952380953,OGLE-BLG-RRLYR-07498,268.88724,-31.091333,RRLYR,RRab,19.734426,16.175,1.571001,0.5136856,,,268.8872841753827,-31.0913177172454,0.004,0.003,90.0,268.88727739516,0.1384,-31.09135445345,0.1257,-0.2392,0.157,-1.349,0.256,-8.532,0.21,false,2205.01,40.7382,17.329838,1006.94,117.635,17.843876,2950.76,108.473,16.087084,1.756792,,,0,,,,,,0.146879,8513.21540932893,5484.75970761482,13139.2186811666,1.5245311247801574,1.5245311247801574
4056066474674344320,RRAB,0.8752062706270627,OGLE-BLG-RRLYR-07528,268.90063,-31.015556,RRLYR,RRab,25.595057,15.752,1.54,0.6716186,,,268.9006410804162,-31.0155582829352,0.003,0.002,90.0,268.90063787181,0.0976,-31.01558410539,0.0851,0.2072,0.1007,-0.639,0.192,-5.997,0.157,false,3889.3,85.9195,16.713688,1907.95,134.606,17.14997,5810.93,246.568,15.351306,1.798663,,,0,4637.55,,,,,0.03516,4374.08152691293,2945.32000049623,7358.48132824168,2.547565487872639,2.547565487872639
4056071942221825664,RRAB,0.49876237623762365,OGLE-BLG-RRLYR-07227,268.75467,-30.890556,RRLYR,RRab,13.8745,15.962,1.8430004,0.6014772,,,268.7546846331772,-30.890569565375,0.004,0.003,90.0,268.75460502043,0.1304,-30.89056920209,0.1146,-0.4156,0.1237,-15.868,0.245,0.084,0.194,false,2716.56,30.1265,17.10332,1404.2,133.923,17.482813,5132.64,369.745,15.486068,1.996745,,,0,,,,,,0.066547,11322.7405951716,7850.56636101467,16259.7578309197,0.6922421046403713,0.6922421046403713
