source_id,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,OGLE-ID,RA,Dec,Type,subType,SNR,I,V_I,Period,[Fe/H]_J95,[Fe/H]_ZW,r_est,r_lo,r_hi,abs_Gmag,abs_Imag,V
4050343211769960576,271.511596322409,0.07411810754954755,-29.274695457979895,0.06943079775827724,0.0952508216762591,0.08470788025058115,-4.832551643240317,0.15308577865924108,-8.151693410335039,0.12952013145754115,5560.323081207343,8.598449426270571,16.325615,2514.3496074768223,204.95827386810006,16.850325,8315.467609936031,217.2626302845693,14.962203,1.8881216,,,0,4512.6323,,,,,OGLE-BLG-RRLYR-13258,271.5114,-29.27425,RRLYR,RRab,19.032574,16.241,1.257,0.49228653,,,6321.66991263775,4313.94021527342,9863.76374002075,2.321455852623018,2.236840145225557,-14.983999221801758
4043566749804427520,269.09226873109554,0.09375553112297276,-32.284378588117946,0.0843595380996769,0.019755291948611003,0.09668317240707655,-13.206651196064312,0.24191124186125063,-9.71397271382483,0.18584289668159498,4266.106749059008,7.647817391410513,16.613287,1370.3575317672519,66.85755888316862,17.509304,6110.642481684597,85.95745358983842,15.296702,2.2126017,,,0,3911.5725,,,,,OGLE-BLG-RRLYR-07983,269.0928,-32.284416,RRLYR,RRab,15.673869,16.909,1.7460003,0.45740557,,,7569.07619782603,5037.41335368359,11727.8619025578,2.2180725855553085,2.5137860102379257,-15.163000096728515
4043467140889480064,267.52625573963246,0.12123828208889859,-32.820237876074245,0.09790854170226194,0.4356992172743328,0.1363877079155531,-2.407851375819067,0.20997308137027695,-3.753177599865902,0.1713541685668646,3009.4930781894027,3.7784852124929387,16.992132,916.3044893044282,34.34783327029052,17.94629,5759.845580926459,73.62151388477773,15.360893,2.5853958,,,0,3821.2334,,,,,OGLE-BLG-RRLYR-03869,267.52625,-32.81989,RRLYR,RRab,7.5267115,16.871,2.341999,0.60825634,,,2370.99209708145,1652.01945451331,4035.89617434186,5.1174816548722575,4.996349757899601,-14.529001289916993
4049121619957892736,271.83589424501366,0.07118810602237942,-31.122496421086595,0.06853755782064282,0.19316654023510357,0.08268106242925113,-0.18650226059046351,0.1390122772923415,0.36451764398115305,0.11816096413936586,4201.859748198671,3.8096152912430985,16.629763,2104.429638330849,47.53458184919418,17.043552,4907.433810058566,105.49019729230304,15.534784,1.5087681,,,0,4777.0,,,,,OGLE-BLG-ELL-020397,271.83597,-31.121973,ELL,ELL,7.2053666,16.272,1.8950005,6.5168877,,,4553.12995547013,3210.54691649895,7188.90741225345,3.3382124189284994,2.980449128523226,-14.37699885913086
4041665174474572416,267.83793821545305,0.11975338111349575,-34.169498284277914,0.10496456252045759,-0.17842363705004055,0.13463533105112166,-4.620786285299078,0.21437330348586375,-6.655730068687273,0.17325309291418975,3102.608581360951,3.885370861854001,16.959047,875.0678786968082,64.00873165547269,17.996284,4969.648571135396,84.20268774619817,15.521106,2.4751787,,,0,3770.0,,,,,OGLE-BLG-RRLYR-04662,267.8374,-34.169445,RRLYR,RRab,11.24134,16.737,1.651001,0.47418904,,,8468.38576260916,5586.57992395417,12845.9193784627,2.320044150859797,2.097996345073664,-15.08599851171875
4050391860926716928,271.38921339335695,0.1130547206485408,-29.16753627234478,0.1082681350897066,-0.5096718052336475,0.12894176960912807,0.4691918335405894,0.2331154504439832,-4.828172057333136,0.2044911489357907,4310.2903145664595,5.317582315678292,16.6021,1836.0575209227297,223.9322020602783,17.191673,6103.4818403045165,125.13070331301685,15.297976,1.8936977,,,0,4458.5,,,,,OGLE-BLG-ECL-299023,271.38922,-29.168056,ECL,C,5.3002944,16.38,1.2709999,0.7663643,,,11443.4782215323,8006.91243885148,16277.061030069,1.3093101351573253,1.0872089236094737,-15.108999260766602
4062266384562814592,269.80110034776834,0.06464458786020899,-29.712122603054635,0.06029940768311331,0.07689378509940617,0.09204523904025948,0.8140177801398114,0.12030744639680425,-1.2191799271653136,0.08997824360745145,11506.153768004267,9.567604624502879,15.53604,3132.0031320914704,105.61002933206608,16.611834,15481.108313414908,69.41116556327687,14.287415,2.324419,,,0,3589.75,,,,,OGLE-BLG-RRLYR-09776,269.801,-29.712444,RRLYR,RRab,9.069291,16.695,1.4400005,0.5670161,,,6611.00810152153,4406.94600552659,10472.4734248342,1.4347018592337406,2.5936612479666508,-15.254999194824219
4068274562843426432,265.37111122012954,0.07317796241885231,-24.337712396379178,0.06375896188747221,0.16637380769414228,0.08305163065323676,-3.5151133204588607,0.16828703295021577,-2.9766553345158475,0.14652363291692938,4024.2610207926054,5.788520548047715,16.676651,1350.6671355900817,56.6214804846464,17.525017,6380.739086893673,274.1696416355996,15.2497425,2.2752743,,,0,4043.0,,,,,OGLE-BLG-RRLYR-01440,265.3715,-24.338028,RRLYR,RRab,26.257431,16.069,1.7619991,0.57956004,,,4856.80499528436,3432.16907636083,7503.19215658249,3.2448976682645636,2.637246911428626,-14.307001144140624
4043638282427900032,268.6815765286944,0.08929738996168013,-31.87649579823586,0.07337433964291995,0.2799469426798226,0.08002188562629335,-1.8200340792577407,0.1609560078257045,-2.091841201468208,0.12006344337027171,5826.718789119632,5.503219711113564,16.274805,3189.797409916571,39.898698283801565,16.59198,7296.739064082098,140.5443636779219,15.104098,1.4878817,,,0,4996.75,,,,,OGLE-BLG-RRLYR-07021,268.6817,-31.876112,RRLYR,RRab,14.346114,16.178,1.6620007,0.5723864,,,3374.30618291242,2552.99505744699,4872.31548399681,3.633882630406987,3.5370770578972213,-14.51599879645996
4658064557136925184,81.25034720646943,0.1252774246087122,-69.63817562348164,0.14212405581205043,0.41541916101206405,0.1443764148286625,1.391864644517224,0.23750879777663003,-0.2430147028068846,0.2579681219599105,1109.6801649581287,2.277005048140683,18.07537,1079.5885604513317,31.04458644872601,17.768242,1487.4999493058915,14.373957934448311,16.830778,0.93746376,,,0,,,,,,OGLE-LMC-RRLYR-14649,81.251205,-69.638,RRLYR,RRab,5.4922595,18.778,0.5979996,0.4897605,-1.269,-1.502,1952.05267615696,1534.99670871049,2591.58181094846,6.622913123930012,7.32554221328548,-18.180000277929686
